ward_id,prov,ward_name,timestamp,rain_mm_idw
TP Huế | Vinh Lộc,TP Huế,Vinh Lộc,2025-11-15 0:00,1.16458818
TP Huế | An Cựu,TP Huế,An Cựu,2025-11-15 4:00,1.165573315
TP Huế | Dương Nỗ,TP Huế,Dương Nỗ,2025-11-15 4:00,1.055030531
TP Huế | Hóa Châu,TP Huế,Hóa Châu,2025-11-15 4:00,1.420968229
TP Huế | Lộc An,TP Huế,Lộc An,2025-11-15 4:00,1.233186476
TP Huế | Phú Lộc,TP Huế,Phú Lộc,2025-11-15 4:00,1.642962069
TP Huế | Thuận An,TP Huế,Thuận An,2025-11-15 4:00,1.002753675
TP Huế | Khe Tre,TP Huế,Khe Tre,2025-11-15 5:00,1.02047989
TP Huế | Phú Lộc,TP Huế,Phú Lộc,2025-11-15 5:00,1.065870625
TP Huế | Dương Nỗ,TP Huế,Dương Nỗ,2025-11-15 6:00,1.091589632
TP Huế | Hóa Châu,TP Huế,Hóa Châu,2025-11-15 6:00,2.327741484
TP Huế | Hương An,TP Huế,Hương An,2025-11-15 6:00,1.043918588
TP Huế | Hương Trà,TP Huế,Hương Trà,2025-11-15 6:00,1.088931146
TP Huế | Khe Tre,TP Huế,Khe Tre,2025-11-15 6:00,1.113810271
TP Huế | Kim Trà,TP Huế,Kim Trà,2025-11-15 6:00,1.206798857
TP Huế | Quảng Điền,TP Huế,Quảng Điền,2025-11-15 6:00,1.126049035
TP Huế | A Lưới 1,TP Huế,A Lưới 1,2025-11-15 8:00,1.751661419
TP Huế | A Lưới 1,TP Huế,A Lưới 1,2025-11-15 9:00,1.215204937
TP Huế | Hóa Châu,TP Huế,Hóa Châu,2025-11-15 10:00,1.021164047
TP Huế | A Lưới 1,TP Huế,A Lưới 1,2025-11-15 11:00,1.365209651
TP Huế | Lộc An,TP Huế,Lộc An,2025-11-15 11:00,1.258633454
TP Huế | Phú Lộc,TP Huế,Phú Lộc,2025-11-15 11:00,1.438789317
TP Huế | Lộc An,TP Huế,Lộc An,2025-11-15 12:00,1.083014858
TP Huế | Phú Lộc,TP Huế,Phú Lộc,2025-11-15 12:00,1.108489081
TP Huế | A Lưới 1,TP Huế,A Lưới 1,2025-11-15 13:00,1.427505667
TP Huế | Phú Lộc,TP Huế,Phú Lộc,2025-11-15 13:00,1.401242131
TP Đà Nẵng | Sơn Trà,TP Đà Nẵng,Sơn Trà,2025-11-15 13:00,1.177650387
TP Huế | Phú Lộc,TP Huế,Phú Lộc,2025-11-15 14:00,1.033804692
TP Huế | Lộc An,TP Huế,Lộc An,2025-11-15 15:00,1.222494078
TP Huế | Phú Lộc,TP Huế,Phú Lộc,2025-11-15 15:00,1.805024615
TP Đà Nẵng | Tam Kỳ,TP Đà Nẵng,Tam Kỳ,2025-11-15 15:00,1.136050883
TP Huế | Bình Điền,TP Huế,Bình Điền,2025-11-15 16:00,1.049806058
TP Huế | Hưng Lộc,TP Huế,Hưng Lộc,2025-11-15 16:00,1.358895004
TP Huế | Khe Tre,TP Huế,Khe Tre,2025-11-15 16:00,1.17432147
TP Huế | Lộc An,TP Huế,Lộc An,2025-11-15 16:00,2.201962521
TP Huế | Phú Bài,TP Huế,Phú Bài,2025-11-15 16:00,1.011878898
TP Huế | Phú Lộc,TP Huế,Phú Lộc,2025-11-15 16:00,2.559290334
TP Đà Nẵng | An Khê,TP Đà Nẵng,An Khê,2025-11-15 16:00,1.098020902
TP Đà Nẵng | Bàn Thạch,TP Đà Nẵng,Bàn Thạch,2025-11-15 16:00,1.40796624
TP Đà Nẵng | Chiên Đàn,TP Đà Nẵng,Chiên Đàn,2025-11-15 16:00,1.068603417
TP Đà Nẵng | Duy Xuyên,TP Đà Nẵng,Duy Xuyên,2025-11-15 16:00,1.179010996
TP Đà Nẵng | Hương Trà,TP Đà Nẵng,Hương Trà,2025-11-15 16:00,1.169935995
TP Đà Nẵng | Quảng Phú,TP Đà Nẵng,Quảng Phú,2025-11-15 16:00,1.288065615
TP Đà Nẵng | Tam Kỳ,TP Đà Nẵng,Tam Kỳ,2025-11-15 16:00,1.515758058
TP Đà Nẵng | Thu Bồn,TP Đà Nẵng,Thu Bồn,2025-11-15 16:00,1.547105185
TP Đà Nẵng | Thăng Bình,TP Đà Nẵng,Thăng Bình,2025-11-15 16:00,1.032455247
TP Đà Nẵng | Thăng Phú,TP Đà Nẵng,Thăng Phú,2025-11-15 16:00,1.355549844
TP Đà Nẵng | Thăng Trường,TP Đà Nẵng,Thăng Trường,2025-11-15 16:00,1.270922699
TP Đà Nẵng | Thăng Điền,TP Đà Nẵng,Thăng Điền,2025-11-15 16:00,1.319882778
TP Đà Nẵng | Tây Hồ,TP Đà Nẵng,Tây Hồ,2025-11-15 16:00,1.146287924
TP Đà Nẵng | Đồng Dương,TP Đà Nẵng,Đồng Dương,2025-11-15 16:00,1.095765815
TP Huế | A Lưới 1,TP Huế,A Lưới 1,2025-11-15 17:00,1.149577759
TP Huế | Hóa Châu,TP Huế,Hóa Châu,2025-11-15 17:00,1.622992633
TP Huế | Hương Trà,TP Huế,Hương Trà,2025-11-15 17:00,1.20254653
TP Huế | Khe Tre,TP Huế,Khe Tre,2025-11-15 17:00,1.275367413
TP Huế | Kim Trà,TP Huế,Kim Trà,2025-11-15 17:00,1.053882068
TP Huế | Lộc An,TP Huế,Lộc An,2025-11-15 17:00,1.250857373
TP Huế | Phong Dinh,TP Huế,Phong Dinh,2025-11-15 17:00,2.072478129
TP Huế | Phong Quảng,TP Huế,Phong Quảng,2025-11-15 17:00,1.95071756
TP Huế | Phong Thái,TP Huế,Phong Thái,2025-11-15 17:00,2.450213901
TP Huế | Phong Điền,TP Huế,Phong Điền,2025-11-15 17:00,2.663434425
TP Huế | Phú Lộc,TP Huế,Phú Lộc,2025-11-15 17:00,1.035417995
TP Huế | Quảng Điền,TP Huế,Quảng Điền,2025-11-15 17:00,1.789221401
TP Huế | Đan Điền,TP Huế,Đan Điền,2025-11-15 17:00,2.192472789
TP Đà Nẵng | Bàn Thạch,TP Đà Nẵng,Bàn Thạch,2025-11-15 17:00,2.273708026
TP Đà Nẵng | Chiên Đàn,TP Đà Nẵng,Chiên Đàn,2025-11-15 17:00,1.82311047
TP Đà Nẵng | Hương Trà,TP Đà Nẵng,Hương Trà,2025-11-15 17:00,2.230808345
TP Đà Nẵng | Phú Ninh,TP Đà Nẵng,Phú Ninh,2025-11-15 17:00,1.032794416
TP Đà Nẵng | Quảng Phú,TP Đà Nẵng,Quảng Phú,2025-11-15 17:00,2.157011092
TP Đà Nẵng | Quế Sơn,TP Đà Nẵng,Quế Sơn,2025-11-15 17:00,1.120763933
TP Đà Nẵng | Sơn Cẩm Hà,TP Đà Nẵng,Sơn Cẩm Hà,2025-11-15 17:00,1.122263427
TP Đà Nẵng | Tam Kỳ,TP Đà Nẵng,Tam Kỳ,2025-11-15 17:00,2.516965305
TP Đà Nẵng | Tam Xuân,TP Đà Nẵng,Tam Xuân,2025-11-15 17:00,1.755173176
TP Đà Nẵng | Thăng Phú,TP Đà Nẵng,Thăng Phú,2025-11-15 17:00,1.312962288
TP Đà Nẵng | Thăng Trường,TP Đà Nẵng,Thăng Trường,2025-11-15 17:00,1.48461266
TP Đà Nẵng | Thăng Điền,TP Đà Nẵng,Thăng Điền,2025-11-15 17:00,1.27531752
TP Đà Nẵng | Tiên Phước,TP Đà Nẵng,Tiên Phước,2025-11-15 17:00,1.202194573
TP Đà Nẵng | Tây Hồ,TP Đà Nẵng,Tây Hồ,2025-11-15 17:00,1.481515463
TP Đà Nẵng | Việt An,TP Đà Nẵng,Việt An,2025-11-15 17:00,1.03373977
TP Đà Nẵng | Đồng Dương,TP Đà Nẵng,Đồng Dương,2025-11-15 17:00,1.271213917
TP Đà Nẵng | Đức Phú,TP Đà Nẵng,Đức Phú,2025-11-15 17:00,1.043123982
TP Huế | A Lưới 1,TP Huế,A Lưới 1,2025-11-15 18:00,1.073280689
TP Huế | Bình Điền,TP Huế,Bình Điền,2025-11-15 18:00,1.157403707
TP Huế | Hưng Lộc,TP Huế,Hưng Lộc,2025-11-15 18:00,1.59382258
TP Huế | Hương Trà,TP Huế,Hương Trà,2025-11-15 18:00,1.074201449
TP Huế | Khe Tre,TP Huế,Khe Tre,2025-11-15 18:00,1.547798544
TP Huế | Lộc An,TP Huế,Lộc An,2025-11-15 18:00,2.982046493
TP Huế | Phong Dinh,TP Huế,Phong Dinh,2025-11-15 18:00,2.636764653
TP Huế | Phong Phú,TP Huế,Phong Phú,2025-11-15 18:00,1.108230294
TP Huế | Phong Quảng,TP Huế,Phong Quảng,2025-11-15 18:00,1.01890992
TP Huế | Phong Thái,TP Huế,Phong Thái,2025-11-15 18:00,2.142359443
TP Huế | Phong Điền,TP Huế,Phong Điền,2025-11-15 18:00,2.751491521
TP Huế | Phú Bài,TP Huế,Phú Bài,2025-11-15 18:00,1.040683536
TP Huế | Phú Lộc,TP Huế,Phú Lộc,2025-11-15 18:00,4.244148216
TP Huế | Phú Vang,TP Huế,Phú Vang,2025-11-15 18:00,1.013634958
TP Huế | Vinh Lộc,TP Huế,Vinh Lộc,2025-11-15 18:00,1.236932931
TP Huế | Đan Điền,TP Huế,Đan Điền,2025-11-15 18:00,1.321310264
TP Đà Nẵng | An Hải,TP Đà Nẵng,An Hải,2025-11-15 18:00,2.716334294
TP Đà Nẵng | An Khê,TP Đà Nẵng,An Khê,2025-11-15 18:00,2.820292106
TP Đà Nẵng | An Thắng,TP Đà Nẵng,An Thắng,2025-11-15 18:00,1.5732108
TP Đà Nẵng | Bà Nà,TP Đà Nẵng,Bà Nà,2025-11-15 18:00,1.404198346
TP Đà Nẵng | Bàn Thạch,TP Đà Nẵng,Bàn Thạch,2025-11-15 18:00,1.614421939
TP Đà Nẵng | Chiên Đàn,TP Đà Nẵng,Chiên Đàn,2025-11-15 18:00,1.695506132
TP Đà Nẵng | Cẩm Lệ,TP Đà Nẵng,Cẩm Lệ,2025-11-15 18:00,2.651574933
TP Đà Nẵng | Duy Nghĩa,TP Đà Nẵng,Duy Nghĩa,2025-11-15 18:00,1.383860577
TP Đà Nẵng | Gò Nổi,TP Đà Nẵng,Gò Nổi,2025-11-15 18:00,1.108905632
TP Đà Nẵng | Hiệp Đức,TP Đà Nẵng,Hiệp Đức,2025-11-15 18:00,1.252898814
TP Đà Nẵng | Hòa Cường,TP Đà Nẵng,Hòa Cường,2025-11-15 18:00,2.925868362
TP Đà Nẵng | Hòa Khánh,TP Đà Nẵng,Hòa Khánh,2025-11-15 18:00,1.618215011
TP Đà Nẵng | Hòa Tiến,TP Đà Nẵng,Hòa Tiến,2025-11-15 18:00,1.441303809
TP Đà Nẵng | Hòa Vang,TP Đà Nẵng,Hòa Vang,2025-11-15 18:00,1.240950654
TP Đà Nẵng | Hòa Xuân,TP Đà Nẵng,Hòa Xuân,2025-11-15 18:00,2.530710478
TP Đà Nẵng | Hương Trà,TP Đà Nẵng,Hương Trà,2025-11-15 18:00,1.618690119
TP Đà Nẵng | Hải Châu,TP Đà Nẵng,Hải Châu,2025-11-15 18:00,2.212407581
TP Đà Nẵng | Hội An,TP Đà Nẵng,Hội An,2025-11-15 18:00,1.37060749
TP Đà Nẵng | Hội An Tây,TP Đà Nẵng,Hội An Tây,2025-11-15 18:00,1.667850219
TP Đà Nẵng | Hội An Đông,TP Đà Nẵng,Hội An Đông,2025-11-15 18:00,1.473077106
TP Đà Nẵng | Liên Chiểu,TP Đà Nẵng,Liên Chiểu,2025-11-15 18:00,1.358029521
TP Đà Nẵng | Lãnh Ngọc,TP Đà Nẵng,Lãnh Ngọc,2025-11-15 18:00,1.435514138
TP Đà Nẵng | Ngũ Hành Sơn,TP Đà Nẵng,Ngũ Hành Sơn,2025-11-15 18:00,2.907762377
TP Đà Nẵng | Nông Sơn,TP Đà Nẵng,Nông Sơn,2025-11-15 18:00,1.435210969
TP Đà Nẵng | Phú Ninh,TP Đà Nẵng,Phú Ninh,2025-11-15 18:00,2.203817254
TP Đà Nẵng | Phước Trà,TP Đà Nẵng,Phước Trà,2025-11-15 18:00,1.110259597
TP Đà Nẵng | Quảng Phú,TP Đà Nẵng,Quảng Phú,2025-11-15 18:00,1.627374211
TP Đà Nẵng | Quế Sơn,TP Đà Nẵng,Quế Sơn,2025-11-15 18:00,1.156441239
TP Đà Nẵng | Sơn Cẩm Hà,TP Đà Nẵng,Sơn Cẩm Hà,2025-11-15 18:00,2.159238876
TP Đà Nẵng | Sơn Trà,TP Đà Nẵng,Sơn Trà,2025-11-15 18:00,3.651279545
TP Đà Nẵng | Tam Anh,TP Đà Nẵng,Tam Anh,2025-11-15 18:00,1.365418969
TP Đà Nẵng | Tam Kỳ,TP Đà Nẵng,Tam Kỳ,2025-11-15 18:00,1.605728215
TP Đà Nẵng | Tam Xuân,TP Đà Nẵng,Tam Xuân,2025-11-15 18:00,1.561225052
TP Đà Nẵng | Thanh Khê,TP Đà Nẵng,Thanh Khê,2025-11-15 18:00,1.684139159
TP Đà Nẵng | Thăng An,TP Đà Nẵng,Thăng An,2025-11-15 18:00,1.402679961
TP Đà Nẵng | Thăng Bình,TP Đà Nẵng,Thăng Bình,2025-11-15 18:00,1.155671022
TP Đà Nẵng | Thăng Phú,TP Đà Nẵng,Thăng Phú,2025-11-15 18:00,1.367968108
TP Đà Nẵng | Thăng Trường,TP Đà Nẵng,Thăng Trường,2025-11-15 18:00,1.417980267
TP Đà Nẵng | Thăng Điền,TP Đà Nẵng,Thăng Điền,2025-11-15 18:00,1.327454062
TP Đà Nẵng | Thạnh Bình,TP Đà Nẵng,Thạnh Bình,2025-11-15 18:00,1.718530963
TP Đà Nẵng | Tiên Phước,TP Đà Nẵng,Tiên Phước,2025-11-15 18:00,1.984319086
TP Đà Nẵng | Tân Hiệp,TP Đà Nẵng,Tân Hiệp,2025-11-15 18:00,2.252798286
TP Đà Nẵng | Tây Hồ,TP Đà Nẵng,Tây Hồ,2025-11-15 18:00,1.528507263
TP Đà Nẵng | Việt An,TP Đà Nẵng,Việt An,2025-11-15 18:00,1.61941282
TP Đà Nẵng | Điện Bàn,TP Đà Nẵng,Điện Bàn,2025-11-15 18:00,1.374656386
TP Đà Nẵng | Điện Bàn Bắc,TP Đà Nẵng,Điện Bàn Bắc,2025-11-15 18:00,1.94354051
TP Đà Nẵng | Điện Bàn Tây,TP Đà Nẵng,Điện Bàn Tây,2025-11-15 18:00,1.595560227
TP Đà Nẵng | Điện Bàn Đông,TP Đà Nẵng,Điện Bàn Đông,2025-11-15 18:00,1.851103451
TP Đà Nẵng | Đại Lộc,TP Đà Nẵng,Đại Lộc,2025-11-15 18:00,1.477995279
TP Đà Nẵng | Đồng Dương,TP Đà Nẵng,Đồng Dương,2025-11-15 18:00,1.381461005
TP Đà Nẵng | Đức Phú,TP Đà Nẵng,Đức Phú,2025-11-15 18:00,1.335117196
