type,Mã trạm/LakeCode,Trạm/Hồ,Tên sông/Lưu vực,Tên tỉnh,Thời gian (UTC),Mực nước (m),Cảnh báo/Xu thế,Cảnh báo value (0-4),Chênh lệch cảnh báo (m),BĐ1 (m),BĐ2 (m),BĐ3 (m),Mực nước lịch sử (m),Năm lũ lịch sử,x,y,Dung tích (m3),Dung tích TK (m3),Tỷ lệ dung tích (%),Q đến (m3/s),Q xả (m3/s),Mực nước BT (m),Mực nước GC (m),Mã Cảnh báo,province_code,basin_code
River,71527,Ái Nghĩa,Vu Gia - Thu Bồn,TP. Đà Nẵng,2025-11-15 0:00,5.42,Dưới BĐ1,0,-1.08,6.5,8,9,10.77,2009,108.1169968,15.88300037,,,,,,,,,,
River,71527,Ái Nghĩa,Vu Gia - Thu Bồn,TP. Đà Nẵng,2025-11-15 1:00,5.42,Dưới BĐ1,0,-1.08,6.5,8,9,10.77,2009,108.1169968,15.88300037,,,,,,,,,,
River,71527,Ái Nghĩa,Vu Gia - Thu Bồn,TP. Đà Nẵng,2025-11-15 2:00,5.4,Dưới BĐ1,0,-1.1,6.5,8,9,10.77,2009,108.1169968,15.88300037,,,,,,,,,,
River,71527,Ái Nghĩa,Vu Gia - Thu Bồn,TP. Đà Nẵng,2025-11-15 3:00,5.36,Dưới BĐ1,0,-1.14,6.5,8,9,10.77,2009,108.1169968,15.88300037,,,,,,,,,,
River,71527,Ái Nghĩa,Vu Gia - Thu Bồn,TP. Đà Nẵng,2025-11-15 4:00,5.36,Dưới BĐ1,0,-1.14,6.5,8,9,10.77,2009,108.1169968,15.88300037,,,,,,,,,,
River,71527,Ái Nghĩa,Vu Gia - Thu Bồn,TP. Đà Nẵng,2025-11-15 5:00,5.37,Dưới BĐ1,0,-1.13,6.5,8,9,10.77,2009,108.1169968,15.88300037,,,,,,,,,,
River,71527,Ái Nghĩa,Vu Gia - Thu Bồn,TP. Đà Nẵng,2025-11-15 6:00,5.41,Dưới BĐ1,0,-1.09,6.5,8,9,10.77,2009,108.1169968,15.88300037,,,,,,,,,,
River,71527,Ái Nghĩa,Vu Gia - Thu Bồn,TP. Đà Nẵng,2025-11-15 7:00,5.48,Dưới BĐ1,0,-1.02,6.5,8,9,10.77,2009,108.1169968,15.88300037,,,,,,,,,,
River,71527,Ái Nghĩa,Vu Gia - Thu Bồn,TP. Đà Nẵng,2025-11-15 8:00,5.54,Dưới BĐ1,0,-0.96,6.5,8,9,10.77,2009,108.1169968,15.88300037,,,,,,,,,,
River,71527,Ái Nghĩa,Vu Gia - Thu Bồn,TP. Đà Nẵng,2025-11-15 9:00,5.57,Dưới BĐ1,0,-0.93,6.5,8,9,10.77,2009,108.1169968,15.88300037,,,,,,,,,,
